obj_label,colours
ground,"[{'color': 36.0, 'percent': 0.6232}, {'color': 4.0, 'percent': 0.0041}, {'color': 0.0, 'percent': 0.0176}, {'color': 40.0, 'percent': 0.0009}, {'color': 72.0, 'percent': 0.0012}, {'color': 76.0, 'percent': 0.098}, {'color': 108.0, 'percent': 0.0001}, {'color': 109.0, 'percent': 0.0006}, {'color': 113.0, 'percent': 0.001}, {'color': 145.0, 'percent': 0.0821}, {'color': 149.0, 'percent': 0.0034}, {'color': 181.0, 'percent': 0.0035}, {'color': 186.0, 'percent': 0.0038}, {'color': 218.0, 'percent': 0.002}, {'color': 222.0, 'percent': 0.1548}, {'color': 185.0, 'percent': 0.0006}, {'color': 217.0, 'percent': 0.0034}]"
Slingshot,"[{'color': 141.0, 'percent': 0.021}, {'color': 72.0, 'percent': 0.0212}, {'color': 104.0, 'percent': 0.0792}, {'color': 100.0, 'percent': 0.0099}, {'color': 136.0, 'percent': 0.0198}, {'color': 172.0, 'percent': 0.0933}, {'color': 109.0, 'percent': 0.0571}, {'color': 68.0, 'percent': 0.1067}, {'color': 73.0, 'percent': 0.0402}, {'color': 140.0, 'percent': 0.0055}, {'color': 146.0, 'percent': 0.0654}, {'color': 32.0, 'percent': 0.1106}, {'color': 182.0, 'percent': 0.0716}, {'color': 219.0, 'percent': 0.0624}, {'color': 36.0, 'percent': 0.0145}, {'color': 255.0, 'percent': 0.1081}, {'color': 145.0, 'percent': 0.0018}, {'color': 173.0, 'percent': 0.0037}, {'color': 218.0, 'percent': 0.0018}, {'color': 177.0, 'percent': 0.0086}, {'color': 178.0, 'percent': 0.0069}, {'color': 209.0, 'percent': 0.0582}, {'color': 214.0, 'percent': 0.0042}, {'color': 251.0, 'percent': 0.0011}, {'color': 105.0, 'percent': 0.0249}, {'color': 64.0, 'percent': 0.0009}, {'color': 250.0, 'percent': 0.0012}, {'color': 213.0, 'percent': 0.0004}]"
bird_black_1,"[{'color': 0.0, 'percent': 0.1084}, {'color': 36.0, 'percent': 0.1548}, {'color': 73.0, 'percent': 0.6791}, {'color': 109.0, 'percent': 0.0124}, {'color': 146.0, 'percent': 0.0072}, {'color': 182.0, 'percent': 0.0031}, {'color': 255.0, 'percent': 0.0124}, {'color': 219.0, 'percent': 0.0062}, {'color': 246.0, 'percent': 0.001}, {'color': 173.0, 'percent': 0.001}, {'color': 164.0, 'percent': 0.001}, {'color': 68.0, 'percent': 0.001}, {'color': 100.0, 'percent': 0.0021}, {'color': 214.0, 'percent': 0.001}, {'color': 72.0, 'percent': 0.0021}, {'color': 177.0, 'percent': 0.001}, {'color': 205.0, 'percent': 0.001}, {'color': 200.0, 'percent': 0.001}, {'color': 168.0, 'percent': 0.0031}, {'color': 141.0, 'percent': 0.001}]"
bird_black_2,"[{'color': 0.0, 'percent': 0.1221}, {'color': 36.0, 'percent': 0.1156}, {'color': 73.0, 'percent': 0.7366}, {'color': 68.0, 'percent': 0.0021}, {'color': 32.0, 'percent': 0.0021}, {'color': 100.0, 'percent': 0.0011}, {'color': 168.0, 'percent': 0.0075}, {'color': 200.0, 'percent': 0.0011}, {'color': 132.0, 'percent': 0.0043}, {'color': 104.0, 'percent': 0.0021}, {'color': 136.0, 'percent': 0.0021}, {'color': 105.0, 'percent': 0.0011}, {'color': 164.0, 'percent': 0.0011}, {'color': 64.0, 'percent': 0.0011}]"
bird_black_3,"[{'color': 0.0, 'percent': 0.1351}, {'color': 36.0, 'percent': 0.1068}, {'color': 73.0, 'percent': 0.7298}, {'color': 68.0, 'percent': 0.0021}, {'color': 100.0, 'percent': 0.0063}, {'color': 132.0, 'percent': 0.0031}, {'color': 104.0, 'percent': 0.0031}, {'color': 136.0, 'percent': 0.0031}, {'color': 168.0, 'percent': 0.0042}, {'color': 105.0, 'percent': 0.001}, {'color': 32.0, 'percent': 0.001}, {'color': 200.0, 'percent': 0.001}, {'color': 164.0, 'percent': 0.0031}]"
bird_black_4,"[{'color': 0.0, 'percent': 0.1085}, {'color': 36.0, 'percent': 0.0943}, {'color': 73.0, 'percent': 0.621}, {'color': 240.0, 'percent': 0.0044}, {'color': 172.0, 'percent': 0.0089}, {'color': 136.0, 'percent': 0.0089}, {'color': 100.0, 'percent': 0.008}, {'color': 68.0, 'percent': 0.0053}, {'color': 32.0, 'percent': 0.1085}, {'color': 140.0, 'percent': 0.0009}, {'color': 208.0, 'percent': 0.008}, {'color': 244.0, 'percent': 0.0053}, {'color': 64.0, 'percent': 0.0053}, {'color': 132.0, 'percent': 0.0027}, {'color': 104.0, 'percent': 0.0027}, {'color': 168.0, 'percent': 0.0036}, {'color': 105.0, 'percent': 0.0009}, {'color': 164.0, 'percent': 0.0027}]"
bird_black_5,"[{'color': 0.0, 'percent': 0.0858}, {'color': 36.0, 'percent': 0.0858}, {'color': 73.0, 'percent': 0.6313}, {'color': 244.0, 'percent': 0.0053}, {'color': 208.0, 'percent': 0.0062}, {'color': 204.0, 'percent': 0.0009}, {'color': 136.0, 'percent': 0.0097}, {'color': 68.0, 'percent': 0.0071}, {'color': 32.0, 'percent': 0.1079}, {'color': 64.0, 'percent': 0.0062}, {'color': 240.0, 'percent': 0.0027}, {'color': 100.0, 'percent': 0.0062}, {'color': 172.0, 'percent': 0.0062}, {'color': 140.0, 'percent': 0.0009}, {'color': 104.0, 'percent': 0.0009}, {'color': 109.0, 'percent': 0.0088}, {'color': 146.0, 'percent': 0.0027}, {'color': 255.0, 'percent': 0.0053}, {'color': 182.0, 'percent': 0.0027}, {'color': 205.0, 'percent': 0.0018}, {'color': 168.0, 'percent': 0.0053}, {'color': 141.0, 'percent': 0.0009}, {'color': 214.0, 'percent': 0.0009}, {'color': 200.0, 'percent': 0.0027}, {'color': 132.0, 'percent': 0.0027}, {'color': 250.0, 'percent': 0.0018}, {'color': 209.0, 'percent': 0.0009}, {'color': 164.0, 'percent': 0.0009}]"
bird_black_6,"[{'color': 0.0, 'percent': 0.0544}, {'color': 32.0, 'percent': 0.0451}, {'color': 68.0, 'percent': 0.0345}, {'color': 100.0, 'percent': 0.2804}, {'color': 36.0, 'percent': 0.0228}, {'color': 64.0, 'percent': 0.5339}, {'color': 73.0, 'percent': 0.0008}, {'color': 146.0, 'percent': 0.0033}, {'color': 255.0, 'percent': 0.0041}, {'color': 182.0, 'percent': 0.0033}, {'color': 219.0, 'percent': 0.0041}, {'color': 109.0, 'percent': 0.0037}, {'color': 251.0, 'percent': 0.0004}, {'color': 177.0, 'percent': 0.0004}, {'color': 246.0, 'percent': 0.0004}, {'color': 209.0, 'percent': 0.0004}, {'color': 204.0, 'percent': 0.0004}, {'color': 172.0, 'percent': 0.0033}, {'color': 181.0, 'percent': 0.0004}, {'color': 136.0, 'percent': 0.0028}, {'color': 168.0, 'percent': 0.0012}]"
bird_black_7,"[{'color': 128.0, 'percent': 0.0239}, {'color': 196.0, 'percent': 0.0275}, {'color': 164.0, 'percent': 0.7959}, {'color': 32.0, 'percent': 0.0138}, {'color': 64.0, 'percent': 0.0293}, {'color': 228.0, 'percent': 0.0078}, {'color': 96.0, 'percent': 0.018}, {'color': 132.0, 'percent': 0.0042}, {'color': 0.0, 'percent': 0.0066}, {'color': 36.0, 'percent': 0.0371}, {'color': 146.0, 'percent': 0.0042}, {'color': 255.0, 'percent': 0.006}, {'color': 182.0, 'percent': 0.0036}, {'color': 219.0, 'percent': 0.0048}, {'color': 109.0, 'percent': 0.0036}, {'color': 73.0, 'percent': 0.0012}, {'color': 100.0, 'percent': 0.0012}, {'color': 141.0, 'percent': 0.0006}, {'color': 244.0, 'percent': 0.0006}, {'color': 250.0, 'percent': 0.0006}, {'color': 145.0, 'percent': 0.0006}, {'color': 204.0, 'percent': 0.003}, {'color': 208.0, 'percent': 0.0006}, {'color': 104.0, 'percent': 0.0006}, {'color': 172.0, 'percent': 0.0006}, {'color': 200.0, 'percent': 0.0036}, {'color': 168.0, 'percent': 0.0006}]"
bird_black_8,"[{'color': 0.0, 'percent': 0.0957}, {'color': 109.0, 'percent': 0.0696}, {'color': 105.0, 'percent': 0.0087}, {'color': 32.0, 'percent': 0.0174}, {'color': 64.0, 'percent': 0.0087}, {'color': 219.0, 'percent': 0.0696}, {'color': 36.0, 'percent': 0.513}, {'color': 255.0, 'percent': 0.0609}, {'color': 182.0, 'percent': 0.0435}, {'color': 146.0, 'percent': 0.0435}, {'color': 73.0, 'percent': 0.0174}, {'color': 108.0, 'percent': 0.0087}, {'color': 140.0, 'percent': 0.0087}, {'color': 248.0, 'percent': 0.0087}, {'color': 213.0, 'percent': 0.0087}, {'color': 4.0, 'percent': 0.0174}]"
